target_id,target_type,confirmation_status,reporting_source,grid_ref,first_observed_dtg,last_observed_dtg,data_as_of,remarks
HPT-001,ADA,CONFIRMED,SIGINT,38S750800,2025-08-15T08:00:00Z,2025-08-29T14:30:00Z,2025-08-29T14:30:00Z,SA-15 system identified via electronic signature
HPT-002,ARMOR,SUSPECTED,HUMINT,37S325245,2025-08-22T10:00:00Z,2025-08-28T06:00:00Z,2025-08-28T06:00:00Z,Possible T-72 platoon reported by local source
HPT-003,IDF,CONFIRMED,SIGINT,36S885445,2025-08-10T16:00:00Z,2025-08-29T09:15:00Z,2025-08-29T09:15:00Z,122mm battery confirmed via radar track and SIGINT
HPT-004,C2,SUSPECTED,HUMINT,43S435515,2025-08-18T12:00:00Z,2025-08-27T22:00:00Z,2025-08-27T22:00:00Z,Possible BN-level CP; multiple antenna signatures reported
HPT-005,ARMOR,CONFIRMED,SIGINT,40S515375,2025-08-05T07:00:00Z,2025-08-29T11:45:00Z,2025-08-29T11:45:00Z,BMP-2 company confirmed via imagery and SIGINT
HPT-006,ADA,SUSPECTED,SIGINT,44S705385,2025-08-25T14:00:00Z,2025-08-28T18:45:00Z,2025-08-28T18:45:00Z,Possible MANPAD team; single SIGINT intercept
HPT-007,IDF,CONFIRMED,HUMINT,37S325250,2025-08-12T09:00:00Z,2025-08-29T08:00:00Z,2025-08-29T08:00:00Z,120mm mortar position confirmed by two HUMINT sources
HPT-008,C2,CONFIRMED,SIGINT,38S760810,2025-08-20T11:00:00Z,2025-08-29T13:00:00Z,2025-08-29T13:00:00Z,BDE-level HQ with active comms net
HPT-009,ARMOR,SUSPECTED,HUMINT,36S880450,2025-08-26T15:00:00Z,2025-08-28T09:00:00Z,2025-08-28T09:00:00Z,Reported vehicle movement consistent with mech infantry
HPT-010,IDF,SUSPECTED,SIGINT,43S290385,2025-08-27T08:00:00Z,2025-08-29T07:30:00Z,2025-08-29T07:30:00Z,Intermittent fire control radar; location approximate
